rank,word,weight,topic_id
25,愛する,0.004995643607992486,5
26,心,0.004831898974903911,5
27,まま,0.004583374445720368,5
28,中,0.004542869006897389,5
29,知る,0.0044806624285995845,5
0,雨,0.020249028118500895,6
1,君,0.014050034233970655,6
2,僕,0.010516839542613524,6
3,今,0.009842144049223388,6
4,事,0.007806062436166405,6
5,傘,0.007281001983583714,6
6,時,0.00723732018842787,6
7,いい,0.00703302232542402,6
8,誰,0.006863346679673426,6
9,行く,0.00685901470754476,6
10,日,0.006734332241530166,6
11,降る,0.006722426192684304,6
12,何,0.006367805293995492,6
13,空,0.0063573428989627204,6
14,人,0.006214971038357819,6
15,中,0.0060107887454149645,6
16,あなた,0.00593730110410721,6
17,続く,0.0058677777801264324,6
18,いつも,0.005704012230925237,6
19,まま,0.005525326323733285,6
